コード,銘柄名,市場・商品区分,__code
1301,極洋,プライム（内国株式）,1301
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース（内国株式）,130A
1332,ニッスイ,プライム（内国株式）,1332
1333,Ｕｍｉｏｓ,プライム（内国株式）,1333
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,135A
1375,ユキグニファクトリー,プライム（内国株式）,1375
1376,カネコ種苗,スタンダード（内国株式）,1376
1377,サカタのタネ,プライム（内国株式）,1377
1379,ホクト,プライム（内国株式）,1379
137A,Ｃｏｃｏｌｉｖｅ,グロース（内国株式）,137A
1380,秋川牧園,スタンダード（内国株式）,1380
1381,アクシーズ,スタンダード（内国株式）,1381
1382,ホーブ,スタンダード（内国株式）,1382
1383,ベルグアース,スタンダード（内国株式）,1383
1384,ホクリヨウ,スタンダード（内国株式）,1384
138A,光フードサービス,グロース（内国株式）,138A
1401,エムビーエス,グロース（内国株式）,1401
1407,ウエストホールディングス,スタンダード（内国株式）,1407
1414,ショーボンドホールディングス,プライム（内国株式）,1414
1417,ミライト・ワン,プライム（内国株式）,1417
1418,インターライフホールディングス,スタンダード（内国株式）,1418
1419,タマホーム,プライム（内国株式）,1419
141A,トライアルホールディングス,グロース（内国株式）,141A
1420,サンヨーホームズ,スタンダード（内国株式）,1420
1429,日本アクア,プライム（内国株式）,1429
142A,ジンジブ,グロース（内国株式）,142A
1430,ファーストコーポレーション,スタンダード（内国株式）,1430
1431,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,1431
1433,ベステラ,プライム（内国株式）,1433
1434,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,1434
1435,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード（内国株式）,1435
1436,グリーンエナジー＆カンパニー,グロース（内国株式）,1436
1438,岐阜造園,スタンダード（内国株式）,1438
143A,イシン,グロース（内国株式）,143A
1443,技研ホールディングス,スタンダード（内国株式）,1443
1444,ニッソウ,グロース（内国株式）,1444
1446,キャンディル,スタンダード（内国株式）,1446
1447,ＳＡＡＦホールディングス,グロース（内国株式）,1447
1450,ＴＡＮＡＫＥＮ,スタンダード（内国株式）,1450
145A,Ｌ　ｉｓ　Ｂ,グロース（内国株式）,145A
146A,コロンビア・ワークス,スタンダード（内国株式）,146A
147A,ソラコム,グロース（内国株式）,147A
148A,ハッチ・ワーク,グロース（内国株式）,148A
1491,中外鉱業,スタンダード（内国株式）,1491
149A,シンカ,グロース（内国株式）,149A
150A,ＪＳＨ,グロース（内国株式）,150A
1514,住石ホールディングス,スタンダード（内国株式）,1514
1515,日鉄鉱業,プライム（内国株式）,1515
1518,三井松島ホールディングス,プライム（内国株式）,1518
151A,ダイブグループ,グロース（内国株式）,151A
153A,カウリス,グロース（内国株式）,153A
155A,情報戦略テクノロジー,グロース（内国株式）,155A
156A,マテリアルグループ,グロース（内国株式）,156A
